null,idProject,nameProject,productionClass,testCase,isEagerTest,isEagerTestManual,prediction
286,1.0,incubator-dubbo,HeaderExchangeChannel,org.apache.dubbo.remoting.exchange.support.header.headerexchangechanneltest.tostringtest,True,False,False
288,1.0,incubator-dubbo,HeartBeatTask,org.apache.dubbo.remoting.exchange.support.header.heartbeattasktest.testheartbeat,True,False,False
314,1.0,incubator-dubbo,ForkingClusterInvoker,org.apache.dubbo.rpc.cluster.support.forkingclusterinvokertest.testclearrpccontext,False,False,False
318,1.0,incubator-dubbo,MockClusterInvoker,org.apache.dubbo.rpc.cluster.support.wrapper.mockclusterinvokertest.testmockinvokerfromoverride_invoke_check_int,False,False,False
325,1.0,incubator-dubbo,ExceptionFilter,org.apache.dubbo.rpc.filter.exceptionfiltertest.testconverttoruntimeexception,False,False,False
333,1.0,incubator-dubbo,DubboProtocol,org.apache.dubbo.rpc.protocol.dubbo.dubboprotocoltest.testdubboprotocolwithmina,False,True,False
348,1.0,incubator-dubbo,InjvmProtocol,org.apache.dubbo.rpc.protocol.injvm.injvmprotocoltest.testisinjvmrefer,True,False,True
365,1.0,incubator-dubbo,WebServiceProtocol,org.apache.dubbo.rpc.protocol.webservice.webserviceprotocoltest.testdemoprotocol,False,False,False
5,1.0,incubator-dubbo,JavaBeanSerializeUtil,org.apache.dubbo.common.beanutil.javabeanserializeutiltest.testserialize_array,False,True,False
13,1.0,incubator-dubbo,ClassUtils,org.apache.dubbo.common.compiler.support.classutilstest.testtouri,True,False,False
16,1.0,incubator-dubbo,ExtensionLoader,org.apache.dubbo.common.extension.extensionloadertest.test_addextension,False,False,False
32,1.0,incubator-dubbo,JSON,org.apache.dubbo.common.json.jsontest.testlinkedmap,False,False,False
36,1.0,incubator-dubbo,JSON,org.apache.dubbo.common.json.jsontest.testparse2arguments,True,False,False
